Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm
95,5.6,2.7,4.2,1.3
25,4.8,3.4,1.9,0.2
83,5.8,2.7,3.9,1.2
146,6.7,3.0,5.2,2.3
40,5.1,3.4,1.5,0.2
19,5.7,3.8,1.7,0.3
18,5.1,3.5,1.4,0.3
4,4.6,3.1,1.5,0.2
86,6.0,3.4,4.5,1.6
31,4.8,3.1,1.6,0.2
36,5.0,3.2,1.2,0.2
55,6.5,2.8,4.6,1.5
141,6.7,3.1,5.6,2.4
93,5.8,2.6,4.0,1.2
3,4.7,3.2,1.3,0.2
65,5.6,2.9,3.6,1.3
147,6.3,2.5,5.0,1.9
150,5.9,3.0,5.1,1.8
35,4.9,3.1,1.5,0.1
1,5.1,3.5,1.4,0.2
11,5.4,3.7,1.5,0.2
8,5.0,3.4,1.5,0.2
100,5.7,2.8,4.1,1.3
135,6.1,2.6,5.6,1.4
82,5.5,2.4,3.7,1.0
72,6.1,2.8,4.0,1.3
66,6.7,3.1,4.4,1.4
57,6.3,3.3,4.7,1.6
54,5.5,2.3,4.0,1.3
6,5.4,3.9,1.7,0.4
74,6.1,2.8,4.7,1.2
47,5.1,3.8,1.6,0.2
143,5.8,2.7,5.1,1.9
33,5.2,4.1,1.5,0.1
59,6.6,2.9,4.6,1.3
17,5.4,3.9,1.3,0.4
133,6.4,2.8,5.6,2.2
81,5.5,2.4,3.8,1.1
37,5.5,3.5,1.3,0.2
88,6.3,2.3,4.4,1.3
89,5.6,3.0,4.1,1.3
92,6.1,3.0,4.6,1.4
96,5.7,3.0,4.2,1.2
115,5.8,2.8,5.1,2.4
111,6.5,3.2,5.1,2.0
87,6.7,3.1,4.7,1.5
48,4.6,3.2,1.4,0.2
7,4.6,3.4,1.4,0.3
13,4.8,3.0,1.4,0.1
112,6.4,2.7,5.3,1.9
126,7.2,3.2,6.0,1.8
23,4.6,3.6,1.0,0.2
105,6.5,3.0,5.8,2.2
52,6.4,3.2,4.5,1.5
140,6.9,3.1,5.4,2.1
21,5.4,3.4,1.7,0.2
49,5.3,3.7,1.5,0.2
91,5.5,2.6,4.4,1.2
67,5.6,3.0,4.5,1.5
122,5.6,2.8,4.9,2.0
30,4.7,3.2,1.6,0.2
124,6.3,2.7,4.9,1.8
136,7.7,3.0,6.1,2.3
90,5.5,2.5,4.0,1.3
39,4.4,3.0,1.3,0.2
20,5.1,3.8,1.5,0.3
129,6.4,2.8,5.6,2.1
107,4.9,2.5,4.5,1.7
42,4.5,2.3,1.3,0.3
137,6.3,3.4,5.6,2.4
78,6.7,3.0,5.0,1.7
80,5.7,2.6,3.5,1.0
79,6.0,2.9,4.5,1.5
63,6.0,2.2,4.0,1.0
149,6.2,3.4,5.4,2.3
75,6.4,2.9,4.3,1.3
102,5.8,2.7,5.1,1.9
43,4.4,3.2,1.3,0.2
121,6.9,3.2,5.7,2.3
103,7.1,3.0,5.9,2.1
104,6.3,2.9,5.6,1.8
38,4.9,3.1,1.5,0.1
139,6.0,3.0,4.8,1.8
10,4.9,3.1,1.5,0.1
110,7.2,3.6,6.1,2.5
109,6.7,2.5,5.8,1.8
60,5.2,2.7,3.9,1.4
114,5.7,2.5,5.0,2.0
44,5.0,3.5,1.6,0.6
148,6.5,3.0,5.2,2.0
84,6.0,2.7,5.1,1.6
98,6.2,2.9,4.3,1.3
142,6.9,3.1,5.1,2.3
76,6.6,3.0,4.4,1.4
69,6.2,2.2,4.5,1.5
41,5.0,3.5,1.3,0.3
97,5.7,2.9,4.2,1.3
2,4.9,3.0,1.4,0.2
85,5.4,3.0,4.5,1.5
117,6.5,3.0,5.5,1.8
132,7.9,3.8,6.4,2.0
144,6.8,3.2,5.9,2.3
28,5.2,3.5,1.5,0.2
51,7.0,3.2,4.7,1.4
22,5.1,3.7,1.5,0.4
34,5.5,4.2,1.4,0.2
15,5.8,4.0,1.2,0.2
14,4.3,3.0,1.1,0.1
131,7.4,2.8,6.1,1.9
106,7.6,3.0,6.6,2.1
138,6.4,3.1,5.5,1.8
56,5.7,2.8,4.5,1.3
116,6.4,3.2,5.3,2.3
58,4.9,2.4,3.3,1.0
127,6.2,2.8,4.8,1.8
64,6.1,2.9,4.7,1.4
101,6.3,3.3,6.0,2.5
145,6.7,3.3,5.7,2.5
46,4.8,3.0,1.4,0.3
12,4.8,3.4,1.6,0.2
